object_id,method,severity,date,description
101,UT,High,2024-01-12,Longitudinal crack in weld
101,MT,Medium,2024-02-04,Surface indications near joint
102,VT,Low,2024-03-10,Minor external corrosion
102,UT,Medium,2024-05-18,Wall thickness reduction
103,VT,Low,2024-04-02,Paint degradation only
104,UT,Medium,2023-11-21,Defect in cross-arm weld
104,RT,High,2024-02-28,Internal defect near critical node
105,UT,High,2024-03-30,Crack at anchor point
105,MT,Medium,2024-04-15,Magnetic indications at base
106,VT,Medium,2024-01-05,Corrosion at pipe support
106,UT,High,2024-06-07,Significant wall loss
107,VT,Low,2024-02-19,Insulation damage no metal loss
